input_data,train_len,test_len,inp_duration,N_samples,sample_len,reset_rate,nb_atoms,geometry,atom_distance,train_mae,test_mae
sine,250,50,16,1024,2,0,4,grid_lattice_centred,4,0.10818882536409948,0.1016259936098572
sine,250,50,16,1024,2,0,4,grid_lattice_centred,8,0.10818882536409948,0.1016259936098572
sine,250,50,16,1024,2,0,4,grid_lattice_centred,10,0.10818882536409948,0.1016259936098572
sine,250,50,16,1024,2,0,4,grid_lattice_centred,15,0.10818882536409948,0.1016259936098572
sine,250,50,16,1024,2,0,4,grid_lattice_centred,30,0.10818882536409948,0.1016259936098572
sine,250,50,16,1024,2,0,4,grid_lattice_centred,70,0.10818882536409948,0.1016259936098572
sine,250,50,16,1024,3,0,4,grid_lattice_centred,4,0.055465895315681885,0.05979776078588215
sine,250,50,16,1024,3,0,4,grid_lattice_centred,8,0.055465895315681885,0.05979776078588215
sine,250,50,16,1024,3,0,4,grid_lattice_centred,10,0.055465895315681885,0.05979776078588215
sine,250,50,16,1024,3,0,4,grid_lattice_centred,15,0.055465895315681885,0.05979776078588215
sine,250,50,16,1024,3,0,4,grid_lattice_centred,30,0.055465895315681885,0.05979776078588215
sine,250,50,16,1024,3,0,4,grid_lattice_centred,70,0.055465895315681885,0.05979776078588215
sine,250,50,16,1024,4,0,4,grid_lattice_centred,4,0.0474785652063363,0.05273358958227142
sine,250,50,16,1024,4,0,4,grid_lattice_centred,8,0.047101102106088935,0.05288099368813256
sine,250,50,16,1024,4,0,4,grid_lattice_centred,10,0.047101102106088935,0.05288099368813256
sine,250,50,16,1024,4,0,4,grid_lattice_centred,15,0.047101102106088935,0.05288099368813256
sine,250,50,16,1024,4,0,4,grid_lattice_centred,30,0.047101102106088935,0.05288099368813256
sine,250,50,16,1024,4,0,4,grid_lattice_centred,70,0.047101102106088935,0.05288099368813256
sine,250,50,16,1024,5,0,4,grid_lattice_centred,4,0.05650801516021579,0.05589810253772701
sine,250,50,16,1024,5,0,4,grid_lattice_centred,8,0.05650801516021579,0.05589810253772701
sine,250,50,16,1024,5,0,4,grid_lattice_centred,10,0.05598809815314144,0.05611621210789342
