input_data,train_len,test_len,neuron_number,sample_len,train_mae,test_mae
sine,250,30,4,2,0.2490196814488034,0.2862774251190474
sine,250,30,5,2,0.2490196814488034,0.2862774251190474
sine,250,30,6,2,0.02582841192192403,0.019234278675541245
sine,250,30,7,2,0.025322895510563853,0.019963040657628536
sine,250,30,8,2,0.02623672667365222,0.0194878356333745
sine,250,30,9,2,0.0485913273181426,0.043072688017909005
sine,250,30,10,2,0.025828833901651485,0.01924310194355045
sine,250,30,11,2,0.00582868465990452,0.005478899888002645
sine,250,30,12,2,0.008928395121949689,0.009294449441821949
sine,250,30,13,2,0.01658567446991798,0.012968527370248582
sine,250,30,14,2,0.02582177024030972,0.018994131264996383
sine,250,30,15,2,0.005706397430297967,0.00423368435620821
sine,250,30,16,2,0.005441021729765299,0.005662533513286498
sine,250,30,17,2,0.004517699243497474,0.0009156937904364666
sine,250,30,18,2,0.0020359593239776337,0.0003512778907315355
sine,250,30,19,2,0.003620699736806367,0.004607419782842872
sine,250,30,20,2,0.03305255443183887,0.0039010513098129396
sine,250,30,25,2,0.00529999238929156,0.001179593516411557
sine,250,30,30,2,0.005084359151636621,0.0007388223257046784
sine,250,30,35,2,0.0022267499574752966,0.0006884473677419022
sine,250,30,40,2,0.005686825813984385,0.0008445012593758188
sine,250,30,50,2,0.0032027138676299976,0.0002582937071390551
sine,250,30,60,2,0.001750146824591916,0.00014506070952119627
sine,250,30,70,2,0.006791814382381721,0.0007619590530987674
sine,250,30,80,2,0.0019217216075877444,6.369482941831278e-05
sine,250,30,90,2,0.0019242323831364283,4.6463039658277366e-05
sine,250,30,100,2,0.001840042395006517,3.57351791216452e-05
sine,300,30,4,2,0.23531640073710391,0.2780446818126982
sine,300,30,5,2,0.23531640073710391,0.2780446818126982
sine,300,30,6,2,0.0265584256236986,0.029763924866411905
sine,300,30,7,2,0.02575095086960191,0.025212874217658235
sine,300,30,8,2,0.026954928590885656,0.03031877061857487
sine,300,30,9,2,0.04861153454785236,0.06709642561643822
sine,300,30,10,2,0.026558678614083477,0.0297506597705384
sine,300,30,11,2,0.004589167541965027,0.011752381188412719
sine,300,30,12,2,0.00947275271205923,0.0025480569262271774
sine,300,30,13,2,0.016414684134933417,0.018083549247053195
sine,300,30,14,2,0.02655175447449274,0.03007777740527057
sine,300,30,15,2,0.00406218713511533,0.007125857539239195
sine,300,30,16,2,0.004585677168247431,0.010847329729837164
sine,300,30,17,2,0.0025269691037213666,0.004938411274812778
sine,300,30,18,2,0.00042974501645812527,0.0019412133299563311
sine,300,30,19,2,0.0029976717674320822,0.005776175794402423
sine,300,30,20,2,0.0034168134998083435,0.043330692646009084
sine,300,30,25,2,0.0008393493836453807,0.006188503658720128
sine,300,30,30,2,0.000456405349794265,0.005797423916698531
sine,300,30,35,2,0.000570904778261543,0.0021414053603802602
sine,300,30,40,2,0.0010224328192401642,0.006297512055479236
sine,300,30,50,2,0.00018071281257599323,0.0033443398071603785
sine,300,30,60,2,0.00015558671021355193,0.0014726684682875055
sine,300,30,70,2,0.0006597711148729016,0.008530870074704867
sine,300,30,80,2,0.00010260355421168125,0.001800682604137528
sine,300,30,90,2,8.722670020270167e-05,0.001924620421066357
sine,300,30,100,2,9.229999039202694e-05,0.0018341150090345143
sine,350,30,4,2,0.2523515711420931,0.3728617204480028
sine,350,30,5,2,0.2523515711420931,0.3728617204480028
sine,350,30,6,2,0.027015455031192945,0.026767869997125462
sine,350,30,7,2,0.025518056711279966,0.021951752409537076
sine,350,30,8,2,0.027426815408719152,0.026968408437543674
sine,350,30,9,2,0.04979850449552884,0.03523619358429874
sine,350,30,10,2,0.027015672182729142,0.02677767786106779
sine,350,30,11,2,0.007557535950782649,0.004738432915632891
sine,350,30,12,2,0.008518081350665924,0.006177716179389717
sine,350,30,13,2,0.015401830471541311,0.015717850935081875
sine,350,30,14,2,0.0270104271786906,0.026554400047691364
sine,350,30,15,2,0.005406679761697823,0.0032513654775388847
sine,350,30,16,2,0.006357602823633845,0.005696835494129588
sine,350,30,17,2,0.0031982640503715816,0.0044670091978730895
sine,350,30,18,2,0.0015103840332302,0.0008138194425108999
sine,350,30,19,2,0.004449288114749392,0.003207125747749348
sine,350,30,20,2,0.044998418889298376,0.0017576984096262906
sine,350,30,25,2,0.0050436900126723805,0.0007880676700972301
sine,350,30,30,2,0.0043927314567714735,0.00015299422835548157
sine,350,30,35,2,0.002132053229071796,0.0003330415678670589
sine,350,30,40,2,0.005756340652569589,0.0003465836511293162
sine,350,30,50,2,0.0023983656113554072,0.0001325650331615436
sine,350,30,60,2,0.0014019826903715591,9.744266616480959e-05
sine,350,30,70,2,0.007886955484572048,0.00035078854889747174
sine,350,30,80,2,0.001359166252586422,4.5362324180572744e-05
sine,350,30,90,2,0.0017007004326826684,6.801274960324368e-05
sine,350,30,100,2,0.0020827634194443747,6.503154266504393e-05
sine,400,30,4,2,0.2560514055654004,0.19443921753828144
