atoms,sample_len,interaction_time,atom_distance,geometry,encoding,waveform,nbr_atoms,edge_size,QFIMrank
9,1,16,4,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,16,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,16,4,grid_lattice,both,Constant,NaN,Nan,1
9,1,16,5,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,16,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,16,5,grid_lattice,both,Constant,NaN,Nan,1
9,1,16,10,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,16,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,16,10,grid_lattice,both,Constant,NaN,Nan,1
9,1,16,15,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,16,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,16,15,grid_lattice,both,Constant,NaN,Nan,1
9,1,20,4,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,20,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,20,4,grid_lattice,both,Constant,NaN,Nan,1
9,1,20,5,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,20,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,20,5,grid_lattice,both,Constant,NaN,Nan,1
9,1,20,10,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,20,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,20,10,grid_lattice,both,Constant,NaN,Nan,1
9,1,20,15,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,20,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,20,15,grid_lattice,both,Constant,NaN,Nan,1
9,1,30,4,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,30,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,30,4,grid_lattice,both,Constant,NaN,Nan,1
9,1,30,5,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,30,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,30,5,grid_lattice,both,Constant,NaN,Nan,1
9,1,30,10,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,30,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,30,10,grid_lattice,both,Constant,NaN,Nan,1
9,1,30,15,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,30,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,30,15,grid_lattice,both,Constant,NaN,Nan,1
9,1,100,4,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,100,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,100,4,grid_lattice,both,Constant,NaN,Nan,1
9,1,100,5,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,100,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,100,5,grid_lattice,both,Constant,NaN,Nan,1
9,1,100,10,grid_lattice,amplitude,Constant,NaN,Nan,1
