input_type,train_len,test_len,inp_duration,N_samples,sample_len,reset_rate,nb_atoms,geometry,atom_distance,train_mae,test_mae
sine,250,50,1000,1024,2,0,4,grid_lattice_centred,15,"0,023554416374289","0,0240813700666"
sine,250,50,1000,1024,2,0,4,grid_lattice_centred,30,"0,02300275485976","0,024849734207681"
sine,250,50,1000,1024,2,0,4,grid_lattice_centred,70,"0,023065883155657","0,024906788625057"
sine,250,50,1000,1024,2,0,4,grid_lattice_centred,10,"0,024734765215356","0,026382216913792"
sine,250,50,1000,1024,2,0,4,grid_lattice_centred,8,"0,023282987028982","0,026819833751343"
sine,250,50,1000,1024,3,0,4,grid_lattice_centred,70,"0,031729990011095","0,031279453079343"
sine,250,50,1000,1024,3,0,4,grid_lattice_centred,30,"0,031808985880173","0,031385829284416"
sine,250,50,1000,1024,3,0,4,grid_lattice_centred,15,"0,027594177075358","0,032106159482076"
sine,250,50,100,1024,3,0,4,grid_lattice_centred,15,"0,033050210088768","0,036310351796728"
sine,250,50,100,1024,3,0,4,grid_lattice_centred,30,"0,033050210088768","0,036310351796728"
sine,250,50,100,1024,3,0,4,grid_lattice_centred,70,"0,033050210088768","0,036310351796728"
sine,250,50,100,1024,3,0,4,grid_lattice_centred,10,"0,03338818117876","0,036650692307266"
sine,250,50,100,1024,2,0,4,grid_lattice_centred,15,"0,031063045745692","0,037217507456965"
sine,250,50,100,1024,2,0,4,grid_lattice_centred,30,"0,031063045745692","0,037217507456965"
sine,250,50,100,1024,2,0,4,grid_lattice_centred,70,"0,031063045745692","0,037217507456965"
sine,250,50,100,1024,2,0,4,grid_lattice_centred,10,"0,03213453288322","0,038976636563656"
sine,250,50,100,1024,3,0,4,grid_lattice_centred,8,"0,035750071238927","0,038991737570948"
sine,250,50,50,1024,3,0,4,grid_lattice_centred,15,"0,038425940517909","0,040362261131192"
sine,250,50,50,1024,3,0,4,grid_lattice_centred,30,"0,038425940517909","0,040362261131192"
sine,250,50,50,1024,3,0,4,grid_lattice_centred,70,"0,038425940517909","0,040362261131192"
sine,250,50,100,1024,3,0,4,grid_lattice_centred,4,"0,038498533561655","0,04041514511632"
sine,250,50,50,1024,3,0,4,grid_lattice_centred,10,"0,039300192937012","0,040941520384451"
sine,250,50,50,1024,3,0,4,grid_lattice_centred,4,"0,040510062530023","0,041433590804586"
sine,250,50,50,1024,3,0,4,grid_lattice_centred,8,"0,040943718436034","0,041565586166733"
sine,250,50,100,1024,2,0,4,grid_lattice_centred,8,"0,034766762185611","0,042279370189364"
sine,250,50,50,1024,2,0,4,grid_lattice_centred,4,"0,041045031250429","0,042411608496078"
sine,250,50,50,1024,2,0,4,grid_lattice_centred,8,"0,041045031250429","0,042411608496078"
sine,250,50,50,1024,2,0,4,grid_lattice_centred,10,"0,041045031250429","0,042411608496078"
sine,250,50,50,1024,2,0,4,grid_lattice_centred,15,"0,041045031250429","0,042411608496078"
sine,250,50,50,1024,2,0,4,grid_lattice_centred,30,"0,041045031250429","0,042411608496078"
sine,250,50,50,1024,2,0,4,grid_lattice_centred,70,"0,041045031250429","0,042411608496078"
sine,250,50,100,1024,2,0,4,grid_lattice_centred,4,"0,041954530873832","0,043887544562095"
sine,250,50,1000,1024,3,0,4,grid_lattice_centred,10,"0,058738890770774","0,044949528443417"
